순위,단어,품사,풀이,등급
5881.0,단06,명,段,C
2001.0,단09,관,單,B
471.0,단계03,명,段階,C
9082.0,단골01,명,,C
4987.0,단단하다,형,,C
4782.0,단독02,명,單獨,C
9084.0,단맛,명,,B
5470.0,단순02,명,單純,C
1217.0,단순하다,형,單純-,B
1804.0,단순히,부,單純-,B
2192.0,단어,명,單語,A
1659.0,단위02,명,單位,C
4335.0,단점01,명,短點,B
1380.0,단지04,부,但只,B
2076.0,단지08,명,團地,B
498.0,단체02,명,團體,B
11684.0,단추01,명,,C
3979.0,단편01,명,短篇,C
13214.0,단풍01,명,丹楓,C
1959.0,닫다02,동,,A
4413.0,닫히다,동,,B
1115.0,달05,명,,A
620.0,달05,의,,A
2438.0,달걀,명,,B
1877.0,달다03,동,단추를 ~,B
9979.0,달다04,동,무게를 ~,C
861.0,달다05,보,빌려 다오,C
3980.0,달다05,동,돈을 다오,B
4881.0,달다07,형,맛,A
899.0,달라지다,동,,B
3916.0,달래다01,동,,C
8336.0,달러,명,dollar,A
763.0,달러,의,dollar,A
1805.0,달려가다,동,,B
4882.0,달려들다,동,,C
2593.0,달려오다,동,,B
5088.0,달력,명,-曆,A
703.0,달리01,부,,C
4050.0,달리기,명,,C
1790.0,달리다01,동,문에 종이 ~,B
867.0,달리다04,동,말을 ~,B
4594.0,달리하다01,동,,C
6036.0,달빛,명,,B
2710.0,달아나다,동,,B
2857.0,닭,명,,A
7478.0,닭고기,명,,A
2211.0,닮다,동,,B
5739.0,담01,명,~을 쌓다,C
2920.0,담그다,동,,B
1616.0,담기다01,동,담다,B
609.0,담다01,동,넣다,B
2057.0,담당,명,擔當,C
4988.0,담당자,명,擔當者,C
2496.0,담당하다,동,擔當-,B
679.0,담배,명,,A
9089.0,담요,명,,B
2858.0,담임,명,擔任,B
4191.0,답03,명,答,C
2618.0,답답하다,형,,B
4989.0,답변,명,答辯,C
7738.0,답장,명,答狀,B
3228.0,답하다,동,答-,B
14205.0,닷새,명,,B
3312.0,당근,명,,B
3140.0,당기다01,동,,B
3401.0,당당하다,형,堂堂-,C
6038.0,당분간,부,當分間,C
271.0,당시02,명,當時,C
217.0,당신02,대,當身,B
1311.0,당연하다01,형,當然-,B
2567.0,당연히01,부,當然-,B
1320.0,당장02,명,當場,B
675.0,당하다01,동,當-,C
2619.0,당황하다,동,唐慌-,B
1434.0,닿다01,동,,B
5090.0,대01,의,담배 한 ~,C
9091.0,대01,명,줄기,C
527.0,대06,의,代,C
2764.0,대11,의,對. 개인 ~ 개인,B
1208.0,대15,의,臺,B
3229.0,대가06,명,代價,C
6770.0,대강02,부,大綱,C
4124.0,대개03,명,大槪,C
1709.0,대개03,부,大槪,C
,대구,고,大邱,B
1878.0,대규모,명,大規模,C
2174.0,대기07,명,大氣,C
2406.0,대기업,명,大企業,B
5337.0,대기하다04,동,待機-,C
5092.0,대낮,명,,C
724.0,대다01,동,귀에 ~,C
3683.0,대다수,명,大多數,C
2248.0,대단하다,형,,B
2249.0,대단히,부,,B
1453.0,대답,명,對答,A
1096.0,대답하다,동,對答-,A
4051.0,대도시,명,大都市,B
5195.0,대략,부,大略,C
2795.0,대량01,명,大量,C
569.0,대로01,의,,C
2995.0,대륙01,명,大陸,C
2333.0,대문03,명,大門,B
391.0,대부분,명,大部分,B
4990.0,대비10,명,對備,C
2568.0,대비하다04,동,對備-,C
5471.0,대사04,명,大使,C
4193.0,대사17,명,臺詞,C
5883.0,대사관,명,大使館,A
8710.0,대상자03,명,對象者,C
655.0,대신03,명,代身,B
3032.0,대신하다,동,代身-,C
8342.0,대여섯,관,,C
2038.0,대응02,명,對應,C
2407.0,대응하다,동,對應-,C
8043.0,대입01,명,大入,C
,대전,고,大田,B
5339.0,대접05,명,待接,C
6387.0,대접하다,동,待接-,C
808.0,대중02,명,大衆,B
9527.0,대중교통,명,大衆交通,B
2439.0,대중문화,명,大衆文化,B
11691.0,대중적,명,大衆的,C
744.0,대책03,명,對策,C
3981.0,대처하다02,동,對處-,C
4991.0,대체02,부,大體,C
1685.0,대체로,부,大體-,C
2954.0,대출03,명,貸出,C
2824.0,대충01,부,,C
128.0,대통령,명,大統領,B
482.0,대표,명,代表,B
1760.0,대표적,명,代表的,B
4415.0,대표하다,동,代表-,C
24.0,대하다02,동,對-,B
261.0,대학01,명,大學,A
4416.0,대학교,명,大學校,A
7487.0,대학교수,명,大學敎授,B
,대학로,고,大學路,C
1944.0,대학생,명,大學生,A
3268.0,대학원,명,大學院,B
,대한민국,고,大韓民國,B
3183.0,대합실,명,待合室,C
1589.0,대형04,명,大型,C
699.0,대화06,명,對話,A
8044.0,대화하다02,동,對話-,B
485.0,대회02,명,大會,B
1867.0,댁01,명,宅,A
3402.0,댐02,명,dam,C
46.0,더01,부,,A
1473.0,더구나01,부,,B
7211.0,더더욱,부,,C
9095.0,더러워지다,동,,C
3269.0,더럽다,형,,B
1293.0,더불다,동,,C
273.0,더욱,부,,C
4992.0,더욱더,부,,C
2334.0,더욱이,부,,C
3230.0,더위,명,,B
1791.0,더하다,동,,B
2955.0,덕05,명,德,C
2892.0,덕분,명,德分,B
,덕수궁,고,德壽宮,B
621.0,던지다,동,,B
2154.0,덜01,부,,B
3313.0,덜다01,동,,C
2678.0,덥다01,형,,A
2110.0,덧붙이다,동,,C
3403.0,덩어리,명,,C
2193.0,덮다,동,,B
5198.0,덮이다,동,,C
62.0,데01,의,,B
5094.0,데려가다,동,,B
9529.0,데려오다,동,,B
1167.0,데리다,동,,B
9101.0,데우다01,동,,C
5598.0,데이트,명,date,C
1198.0,도05,의,度,C
3141.0,도10,명,道. ~를 깨치다,C
3800.0,도11,명,道. 전국 각 ~,C
2408.0,도구10,명,道具,B
3270.0,도달하다01,동,到達-,C
1158.0,도대체,부,都大體,C
3861.0,도덕,명,道德,C
4052.0,도둑01,명,,B
4417.0,도로01,부,,B
1773.0,도로07,명,道路,B
5199.0,도리어,부,,C
8045.0,도마01,명,,C
6572.0,도망02,명,逃亡,C
6210.0,도망가다,동,逃亡-,B
4195.0,도망치다,동,逃亡-,C
1732.0,도서관,명,圖書館,A
423.0,도시03,명,都市,A
3633.0,도시락,명,,B
4993.0,도심04,명,都心,C
2194.0,도와주다,동,,A
714.0,도움,명,,B
6042.0,도움말,명,,C
2195.0,도입,명,導入,C
5095.0,도자기,명,陶瓷器,B
12423.0,도장17,명,圖章,C
2548.0,도저히,부,到底-,C
4054.0,도전04,명,挑戰,C
2859.0,도중04,명,途中,B
9103.0,도착01,명,到着,A
1305.0,도착하다01,동,到着-,A
,도쿄(동경),고,東京,B
16709.0,독감01,명,毒感,C
2175.0,독립,명,獨立,C
6775.0,독립하다,동,獨立-,C
4196.0,독서03,명,讀書,B
,독일,고,獨逸,A
13235.0,독일어,명,獨逸語,B
5886.0,독창적,명,獨創的,C
1398.0,독특하다,형,獨特-,C
6212.0,독하다,형,毒-,C
140.0,돈01,명,,A
1375.0,돌02,명,~멩이,B
927.0,돌다,동,,B
6776.0,돌려주다,동,,B
505.0,돌리다04,동,팽이를 ~,B
5096.0,돌멩이,명,,C
2956.0,돌보다,동,,B
519.0,돌아가다,동,,A
3348.0,돌아다니다,동,,C
2176.0,돌아보다,동,,B
2825.0,돌아서다,동,,B
377.0,돌아오다,동,,A
1109.0,돕다,동,,A
1879.0,동09,관,同,C
4197.0,동15,의,棟,C
8718.0,동그라미,명,,C
9105.0,동그랗다,형,,C
6575.0,동기04,명,同期,C
2232.0,동기07,명,動機,B
793.0,동네,명,洞-,B
,동대문,고,東大門,B
,동대문시장,고,東大門市場,B
1774.0,동료,명,同僚,C
1294.0,동물,명,動物,A
12428.0,동물원,명,動物園,B
3862.0,동부05,명,東部,C
602.0,동생01,명,,A
5742.0,동서04,명,東西,C
14242.0,동서남북,명,東西南北,C
529.0,동시02,명,同時,B
3920.0,동아리02,명,,B
214.0,동안01,명,시간의 길이,A
3111.0,동양03,명,東洋,B
15425.0,동양인,명,東洋人,C
3737.0,동의02,명,同意,C
4198.0,동의하다01,동,同意-,C
2620.0,동일하다,형,同一-,C
1815.0,동작03,명,動作,C
4503.0,동전05,명,銅錢,B
2569.0,동쪽,명,東-,A
5341.0,동창01,명,同窓,B
3112.0,동포02,명,同胞,C
2796.0,동행01,명,同行,C
2826.0,동화07,명,童話,B
8050.0,동화책,명,童話冊,C
2893.0,돼지,명,,A
4418.0,돼지고기,명,,A
2996.0,되게,부,,B
5.0,되다01,동,어른이 ~,A
4685.0,되돌리다,동,,C
5602.0,되돌아가다,동,,C
8349.0,되돌아보다,동,,C
5098.0,되돌아오다,동,,C
6045.0,되살리다,동,,C
3231.0,되찾다,동,,C
5887.0,되풀이되다,동,,C
3523.0,되풀이하다01,동,,C
4994.0,된장,명,-醬,B
10482.0,된장찌개,명,-醬-,B
63.0,두01,관,,A
2827.0,두껍다,형,,B
5099.0,두께01,명,,C
3404.0,두뇌,명,頭腦,C
266.0,두다01,동,,B
326.0,두다01,보,,B
2860.0,두드러지다,형,,C
2894.0,두드리다,동,,B
3466.0,두려움,명,,C
4419.0,두려워하다,동,,C
3034.0,두렵다01,형,,C
2077.0,두르다,동,,C
5342.0,두리번거리다,동,,C
5603.0,두부01,명,豆腐,B
5473.0,두세,관,,B
4505.0,두어,관,,C
6394.0,두통,명,頭痛,B
575.0,둘01,수,,A
2594.0,둘러보다,동,,B
1850.0,둘러싸다,동,,C
4995.0,둘러싸이다,동,,C
1660.0,둘째,수,,A
2679.0,둘째,관,,A
2155.0,둥글다01,형,,B
2497.0,둥지,명,,C
87.0,뒤01,명,,A
3271.0,뒤늦다,형,,C
2997.0,뒤따르다,동,,C
3272.0,뒤지다02,동,가방을 ~,C
2957.0,뒤집다,동,,B
5100.0,뒤쪽01,명,,B
6989.0,뒤편,명,-便,C
9992.0,뒷골목,명,,C
3863.0,뒷모습,명,,C
7497.0,뒷문,명,-門,C
6046.0,뒷산,명,-山,B
2078.0,드디어,부,,C
1237.0,드라마,명,drama,B
598.0,드러나다,동,,C
1460.0,드리다01,동,인사를 ~,A
830.0,드리다01,보,도와 ~,A
1960.0,드물다,형,,C
88.0,듣다01,동,소리를 ~,A
2797.0,들01,명,,B
3142.0,들다01,보,따지고 ~,B
91.0,들다01,동,여관에 ~,A
130.0,들다04,동,꽃을 ~,A
1733.0,들려오다,동,,B
4337.0,들려주다,동,,B
1961.0,들르다,동,,B
866.0,들리다03,동,소리가 ~,B
158.0,들어가다01,동,,A
646.0,들어서다,동,,B
256.0,들어오다,동,,A
9994.0,들어주다,동,,C
5743.0,들여놓다,동,,C
1739.0,들여다보다,동,,B
1515.0,들이다02,동,'들다'의 사동사,C
6779.0,들이마시다02,동,숨을 ~,C
5604.0,들이켜다01,동,,C
337.0,듯01,의,,C
3685.0,듯싶다,보,,C
989.0,듯이01,의,,B
347.0,듯하다,보,,C
1019.0,등01,명,신체의 일부,B
3405.0,등04,의,等. 1~,B
18.0,등05,의,等,B
3349.0,등등01,의,等等,C
3273.0,등록01,명,登錄,B
7221.0,등록금,명,登錄金,B
4268.0,등록증,명,登錄證,C
9537.0,등록하다01,동,登錄-,C
4996.0,등산,명,登山,A
8355.0,등산로,명,登山路,B
3035.0,등장01,명,登場,C
987.0,등장하다01,동,登場-,C
3274.0,디스크,명,disk,C
9995.0,디자이너,명,designer,B
3036.0,디자인,명,design,B
26587.0,따님,명,,C
1590.0,따다01,동,떼다,B
1312.0,따뜻하다,형,,A
2468.0,따라가다,동,,B
5605.0,따라다니다,동,,C
268.0,따라서,부,,C
3921.0,따라오다,동,,B
1313.0,따로,부,,B
9996.0,따로따로01,부,,C
51.0,따르다01,동,뒤를 ~,B
3143.0,따르다02,동,물을 ~,B
5744.0,따스하다,형,,C
3524.0,딱02,부,멎는 모양,C
1851.0,딱03,부,바라진 모양,B
4200.0,딱딱하다01,형,굳다,C
2111.0,딴03,관,~ 일,B
625.0,딸01,명,,A
8053.0,딸기,명,,A
7500.0,딸아이,명,,C
1399.0,땀01,명,,B
321.0,땅01,명,,B
8054.0,땅바닥,명,,C
4201.0,땅속,명,,C
6215.0,땅콩,명,,B
19.0,때01,명,시간,A
5475.0,때02,명,더러운 물질,C
7749.0,때때로,부,,B
1353.0,때로,부,,C
1686.0,때리다01,동,,C
31.0,때문,의,,A
6047.0,땜03,의,때문,B
5889.0,떠나가다,동,,C
327.0,떠나다,동,,A
8727.0,떠나오다,동,,C
2765.0,떠들다01,동,말하다,B
5890.0,떠들썩하다02,형,떠들다,C
1042.0,떠오르다,동,,B
1749.0,떠올리다,동,,B
1443.0,떡01,명,,A
18402.0,떡국,명,,C
13255.0,떡볶이,명,,B
1271.0,떨다01,동,,B
2570.0,떨리다01,동,흔들리다,B
2621.0,떨어뜨리다,동,,B
299.0,떨어지다,동,,B
2798.0,떼01,명,양 ~,C
1070.0,떼다01,동,,B
40.0,또,부,,A
250.0,또는,부,,B
2177.0,또다시,부,,B
248.0,또한,부,,B
1376.0,똑같다,형,,A
2622.0,똑같이,부,,B
3864.0,똑똑하다,형,,B
5201.0,똑바로,부,,A
4338.0,뚜껑,명,,B
3113.0,뚫다,동,,C
11721.0,뚱뚱하다,형,,B
9541.0,뛰놀다,동,,C
1852.0,뛰다01,동,심장이 ~,A
1626.0,뛰다02,동,빨리 나아가다,A
4598.0,뛰어가다,동,,C
9998.0,뛰어나가다,동,,B
1661.0,뛰어나다,형,,C
9114.0,뛰어나오다,동,,C
6399.0,뛰어내리다,동,,C
3315.0,뛰어넘다,동,,C
9999.0,뛰어놀다,동,,C
7224.0,뛰어다니다,동,,B
2280.0,뛰어들다,동,,B
9542.0,뛰어오다,동,,B
6780.0,뛰어오르다,동,,C
1178.0,뜨겁다,형,,A
1389.0,뜨다01,동,솟아오르다,B
7753.0,뜨다03,동,떠나다,C
1673.0,뜨다05,동,눈을 ~,B
3634.0,뜯다,동,,C
6218.0,뜰01,명,,C
296.0,뜻,명,,B
5891.0,뜻대로,부,,C
4420.0,뜻밖,명,,C
6219.0,뜻밖에,부,,C
1816.0,뜻하다,동,,C
1792.0,띄다01,동,눈에 ~,C
4687.0,띄우다02,동,배를 ~,C
1571.0,라디오,명,radio,A
2623.0,라면01,명,&일ramen,A
5606.0,라운드,명,round,C
10002.0,라이벌,명,rival,C
6781.0,라이터,명,lighter,B
5202.0,라인01,명,line,C
9544.0,라켓,명,racket,C
,러시아,고,Russia,A
,런던,고,London,B
7503.0,레몬,명,lemon,B
5892.0,레스토랑,명,&프restaurant,B
8731.0,레이저,명,laser,C
9115.0,레저,명,leisure,C
5203.0,렌즈,명,lens,B
5893.0,로봇,명,robot,C
9116.0,로터리,명,rotary,C
3525.0,리02,의,里,C
3802.0,리그01,명,league,C
2998.0,리듬,명,rhythm,B
9546.0,리터01,의,liter,C
2571.0,마구01,부,,B
3316.0,마누라01,명,,C
1740.0,마늘,명,,B
1617.0,마당,명,,C
4788.0,마당,의,,C
3037.0,마디01,명,,C
2799.0,마땅하다,형,,C
7756.0,마라톤,명,marathon,C
1572.0,마련,의,,C
2233.0,마련,명,,C
2440.0,마련되다,동,,B
833.0,마련하다,동,,B
2441.0,마루03,명,~를 닦다,B
1649.0,마르다01,동,,B
1168.0,마리01,의,,A
3740.0,마무리,명,,C
8358.0,마사지,명,massage,B
365.0,마시다,동,,A
4508.0,마약,명,痲藥,C
9547.0,마요네즈,명,&프mayonnaise,C
480.0,마을01,명,,B
148.0,마음01,명,,A
5608.0,마음가짐,명,,C
4789.0,마음껏,부,,C
2921.0,마음대로,부,,B
4339.0,마음먹다,동,,C
2212.0,마음속,명,,B
7225.0,마음씨,명,,C
3803.0,마이크,명,mike,C
2250.0,마주01,부,,B
3741.0,마주치다,동,,C
8736.0,마중01,명,,B
626.0,마지막,명,,A
545.0,마찬가지,명,,B
4997.0,마찰,명,摩擦,C
580.0,마치03,부,,B
711.0,마치다02,동,,B
2265.0,마침02,부,,B
1507.0,마침내,부,,B
4998.0,마크,명,mark,C
9548.0,마흔,수,,A
1817.0,막01,부,바로 지금,B
1159.0,막02,부,마구,B
4421.0,막걸리,명,,C
4269.0,막내,명,,B
700.0,막다01,동,,B
3742.0,막상01,부,,C
1344.0,막히다,동,,B
811.0,만01,의,십 년 ~에,C
6221.0,만02,의,화를 낼 ~도 하다,C
3865.0,만06,관,萬,A
8359.0,만06,수,萬,A
7226.0,만07,관,滿. ~ 3개월,B
166.0,만나다,동,,A
2572.0,만남,명,,B
16774.0,만두01,명,饅頭,B
61.0,만들다,동,,A
1071.0,만들어지다,동,,B
3866.0,만만하다01,형,대적할 만함,C
9549.0,만세04,명,萬歲,C
1134.0,만약,명,萬若,B
1761.0,만일01,명,萬一,B
5896.0,만점,명,滿點,C
4999.0,만족01,명,滿足,C
7505.0,만족스럽다,형,滿足-,C
6049.0,만족하다,동,滿足-,B
3804.0,만족하다,형,滿足-,B
2522.0,만지다,동,,B
440.0,만큼,의,,B
451.0,만하다,보,,C
2059.0,만화10,명,漫畵,B
9551.0,만화가,명,漫畵家,C
43.0,많다,형,,A
2381.0,많아지다,동,,B
98.0,많이,부,,A
28.0,말01,명,~과 글,A
2624.0,말05,명,동물,B
780.0,말11,의,末,B
3144.0,말기05,명,末期,C
5343.0,말다01,동,감다,C
576.0,말다03,동,그만두다,A
161.0,말다03,보,,A
3922.0,말리다02,동,싸움을 ~,C
3232.0,말리다03,동,빨래를 ~,C
812.0,말씀,명,,A
3184.0,말씀드리다,동,,B
1381.0,말씀하다,동,,A
3145.0,말없이,부,,C
5746.0,말투,명,-套,C
32.0,말하다,동,,A
1077.0,맑다01,형,,A
3923.0,맘01,명,마음,C
9552.0,맘대로,부,마음대로,C
390.0,맛01,명,,A
3275.0,맛보다01,동,,C
15475.0,맛없다,형,,A
1020.0,맛있다,형,,A
3467.0,망설이다,동,,C
4888.0,망원경,명,望遠鏡,C
5000.0,망치다,동,,C
3146.0,망하다,동,亡-,C
378.0,맞다01,동,답이 ~,B
800.0,맞다02,동,손님을 ~,B
1546.0,맞다03,동,매를 ~,B
2828.0,맞서다,동,,B
5344.0,맞은편,명,-便,B
3317.0,맞이하다,동,,C
694.0,맞추다01,동,,B
1516.0,맡기다,동,,B
633.0,맡다01,동,담임을 ~,B
4422.0,맡다02,동,냄새를 ~,C
5476.0,매01,명,~를 맞다,C
4690.0,매너,명,manner,C
2767.0,매년,부,每年,B
3982.0,매다01,동,끈을 ~,B
5897.0,매달,부,每-,C
6994.0,매달다,동,,C
1962.0,매달리다,동,,C
2409.0,매력,명,魅力,B
10013.0,매번,부,每番,C
7759.0,매스컴,명,mass communication,C
393.0,매우01,부,,A
1272.0,매일,부,每日,A
6784.0,매일,명,每日,A
3185.0,매장06,명,賣場,C
6995.0,매주01,부,每週,C
1345.0,매체,명,媒體,C
2861.0,맥주,명,麥酒,A
1750.0,맨01,관,,B
6050.0,맵다,형,,A
1674.0,맺다,동,,C
288.0,머리01,명,,A
9554.0,머리말,명,,C
3983.0,머리카락,명,,B
5610.0,머리칼,명,,C
2178.0,머릿속,명,,B
2094.0,머무르다,동,,B
2469.0,머물다,동,,C
5478.0,먹고살다,동,,C
10015.0,먹다01,동,귀를 ~,C
3924.0,먹다02,보,잊어 ~,A
70.0,먹다02,동,밥을 ~,A
3686.0,먹이,명,,C
2060.0,먹이다,동,,B
8361.0,먹히다,동,,B
283.0,먼저,부,,A
2958.0,먼지01,명,,B
718.0,멀다02,형,갈 길이 ~,A
997.0,멀리01,부,,B
3186.0,멀어지다,동,,B
1418.0,멈추다,동,,B
5346.0,멋01,명,,B
5206.0,멋있다,형,,B
3350.0,멋지다,형,,C
32365.0,멍멍01,부,,C
5479.0,멎다01,동,,C
5002.0,메뉴,명,menu,A
6051.0,메다02,동,총을 ~,B
7231.0,메모,명,memo,B
3526.0,메시지,명,message,B
3805.0,메우다02,동,'메다'의 사동사,C
23197.0,메일,명,mail,B
2923.0,며느리,명,,B
1021.0,며칠,명,,A
4058.0,면04,명,面. 행정 단위,C
643.0,면05,명,面. 양쪽 ~,C
5347.0,면07,명,綿,C
5481.0,면담,명,面談,C
3806.0,면적,명,面積,C
9555.0,면접,명,面接,C
3527.0,면하다01,동,免-,C
5207.0,멸치,명,,C
77.0,명03,의,名. 한 ~,A
6222.0,명단01,명,名單,C
2311.0,명령01,명,命令,B
5748.0,명령어,명,命令語,C
2470.0,명예01,명,名譽,C
3578.0,명의02,명,名義,C
3926.0,명절01,명,名節,B
3187.0,명칭02,명,名稱,C
9557.0,명함,명,名銜,B
3984.0,명확하다,형,明確-,C
3743.0,몇,수,,A
186.0,몇,관,,A
2112.0,몇몇,관,,B
7234.0,몇십,관,,B
5613.0,모15,관,某,C
2095.0,모15,대,某,C
5003.0,모금01,의,한 ~,C
6582.0,모기01,명,,B
3000.0,모니터,명,monitor,B
1840.0,모델,명,model,B
708.0,모두01,명,,A
145.0,모두01,부,,A
137.0,모든,관,,A
2862.0,모래01,명,,B
12460.0,모레,명,,B
59.0,모르다,동,,A
4890.0,모범02,명,模範,C
3528.0,모색하다02,동,摸索-,C
164.0,모습01,명,,B
1368.0,모시다,동,,B
464.0,모양02,명,模樣,B
911.0,모양02,의,模樣,B
5899.0,모여들다,동,,C
508.0,모으다,동,,B
610.0,모이다01,동,,B
906.0,모임01,명,,B
4059.0,모자08,명,帽子,A
2829.0,모자라다,동,,B
5104.0,모조리01,부,,C
5485.0,모집,명,募集,C
8064.0,모집하다,동,募集-,C
3406.0,모처럼,부,,C
5486.0,모퉁이,명,,C
1230.0,목01,명,,A
10505.0,목걸이01,명,,B
4340.0,목록,명,目錄,C
2523.0,목사05,명,牧師,B
486.0,목소리,명,,B
1973.0,목숨,명,,C
11099.0,목요일,명,木曜日,A
3808.0,목욕,명,沐浴,A
5749.0,목욕탕,명,沐浴湯,B
740.0,목적03,명,目的,B
1036.0,목표,명,目標,B
2196.0,몰다01,동,,B
2312.0,몰래01,부,,B
4790.0,몰려들다,동,,C
6052.0,몰려오다,동,,C
156.0,몸01,명,,A
7238.0,몸매,명,,C
7239.0,몸무게,명,,B
8364.0,몸살01,명,~이 걸리다,B
9558.0,몸속,명,,C
3636.0,몸짓,명,,C
3744.0,몸통,명,,C
1687.0,몹시,부,,B
3745.0,못01,명,벽에 ~을 박다,C
207.0,못04,부,,A
3867.0,못되다,형,,C
11104.0,못생기다,형,,C
2213.0,못지않다,형,,C
495.0,못하다,동,,A
3927.0,못하다,형,,A
57.0,못하다,보,,A
5005.0,묘사02,명,描寫,C
3746.0,묘사하다,동,描寫-,C
3687.0,무02,명,식물,B
7767.0,무08,명,無,C
1662.0,무겁다,형,,A
2442.0,무게,명,,B
7240.0,무관심,명,無關心,C
10024.0,무관심하다,형,無關心-,C
6405.0,무궁화,명,無窮花,C
2113.0,무기05,명,武器,C
1793.0,무너지다,동,,C
3277.0,무늬,명,,B
727.0,무대06,명,舞臺,C
8367.0,무더위,명,,B
3233.0,무덤,명,,C
9129.0,무덥다,형,,C
3072.0,무려02,부,無慮,C
1321.0,무렵,의,,B
3688.0,무료01,명,無料,C
1637.0,무릎,명,,B
3468.0,무리01,명,~를 이루다,C
2896.0,무리08,명,無理,C
4891.0,무리하다,형,無理-,C
10027.0,무사하다04,형,無事-,C
1051.0,무섭다,형,,B
221.0,무슨,관,,A
2061.0,무시하다,동,無視-,B
1533.0,무어01,대,,B
135.0,무엇,대,,A
1201.0,무역02,명,貿易,B
1382.0,무용03,명,舞踊,B
8369.0,무용가,명,舞踊家,C
6224.0,무의미하다,형,無意味-,C
2313.0,무조건,부,無條件,B
10517.0,무지개,명,,C
9563.0,무책임하다,형,無責任-,C
1169.0,무척01,부,,B
5902.0,묵다01,동,오래된 상태,C
7769.0,묵다02,동,머무르다,C
2711.0,묶다,동,,B
4892.0,묶이다,동,,C
469.0,문05,명,門,A
6225.0,문구01,명,文句,C
1688.0,문득01,부,,C
6790.0,문밖,명,門-,C
10519.0,문법01,명,文法,C
3147.0,문서,명,文書,C
2281.0,문자02,명,文字,C
3278.0,문장02,명,文章,B
53.0,문제06,명,問題,A
7002.0,문제되다,동,問題-,C
1591.0,문제점,명,問題點,B
272.0,문학01,명,文學,B
13326.0,문학적,명,文學的,C
73.0,문화01,명,文化,B
1390.0,문화재,명,文化財,C
5007.0,문화적,명,文化的,C
2282.0,묻다01,동,옷에 흙이 ~,B
3279.0,묻다02,동,시체를 ~,C
289.0,묻다03,동,길을 ~,A
5008.0,묻히다01,동,옷에 흙을 ~,C
3073.0,묻히다02,동,땅에 ~,C
165.0,물01,명,바닷~,A
1990.0,물가02,명,物價,C
560.0,물건,명,物件,A
3234.0,물결,명,,C
3579.0,물고기,명,,B
2443.0,물기,명,-氣,C
2024.0,물다02,동,담배를 ~,B
3580.0,물러나다,동,,C
213.0,물론01,부,勿論,A
1435.0,물론01,명,勿論,B
3407.0,물리학,명,物理學,C
2079.0,물속,명,,B
1483.0,물어보다,동,,A
2897.0,물음01,명,,B
912.0,물질02,명,物質,C
6054.0,물질적,명,物質的,C
1461.0,물체,명,物體,C
108.0,뭐,대,,A
339.0,뭐,감,,A
9136.0,뭘01,감,,C
6228.0,뭣,대,,C
1025.0,미14,명,美,C
,미국,고,美國,A
5753.0,미끄러지다,동,,C
13330.0,미끄럽다,형,,C
6585.0,미니02,명,mini,C
2573.0,미디어,명,media,B
1298.0,미래02,명,未來,B
2157.0,미루다,동,,C
1242.0,미리01,부,,B
6230.0,미만01,명,未滿,C
4601.0,미사일,명,missile,C
1391.0,미소05,명,微笑,B
1600.0,미술,명,美術,B
3748.0,미술관,명,美術館,B
4424.0,미스03,명,Miss,C
1484.0,미안하다,형,未安-,A
11768.0,미역02,명,,C
44499.0,미용실,명,美容室,C
7516.0,미움,명,,C
8071.0,미워하다,동,,B
6056.0,미인01,명,美人,B
3038.0,미처,부,,C
1918.0,미치다01,동,정신에 이상이 생기다,B
1044.0,미치다02,동,닿다,B
843.0,미터02,의,meter,A
4793.0,미팅,명,meeting,B
5009.0,미혼01,명,未婚,C
1880.0,민간,명,民間,C
4693.0,민속01,명,民俗,C
334.0,민족,명,民族,B
2080.0,민주02,명,民主,C
1991.0,민주주의,명,民主主義,C
1854.0,민주화,명,民主化,C
431.0,믿다,동,,B
6058.0,믿어지다,동,,C
2924.0,믿음,명,,B
2625.0,밀가루,명,,B
1485.0,밀다01,동,,B
4425.0,밀리다01,동,방세가 ~,C
1818.0,밀리미터,의,millimeter,B
3581.0,밀접하다,형,密接-,C
3689.0,밉다,형,,B
245.0,및,부,,B
652.0,밑01,명,,A
4512.0,밑바닥,명,,C
434.0,바03,의,,C
4794.0,바04,명,bar,C
7518.0,바가지01,명,,C
5488.0,바구니,명,,C
2626.0,바깥,명,,B
5904.0,바깥쪽,명,,C
432.0,바꾸다,동,,A
759.0,바뀌다,동,,B
7773.0,바나나,명,banana,A
2524.0,바늘,명,,B
488.0,바다,명,,A
1327.0,바닥01,명,,B
2959.0,바닷가,명,,B
5754.0,바닷물,명,,B
583.0,바라다01,동,,B
387.0,바라보다,동,,B
1663.0,바람01,의,눈이 오는 ~에,A
478.0,바람01,명,~이 불다,A
5210.0,바람02,명,소원,C
1565.0,바람직하다,형,,C
132.0,바로02,부,,A
2800.0,바로잡다,동,,C
1497.0,바르다01,동,벽지를 ~,B
1135.0,바르다03,형,굽은 데가 없다,B
2680.0,바보,명,,B
868.0,바쁘다,형,,A
5489.0,바싹01,부,,C
2382.0,바위01,명,,B
6411.0,바이러스,명,virus,C
3928.0,바이올린,명,violin,B
2627.0,바지01,명,,A
2960.0,바치다01,동,드리다,C
5615.0,바퀴01,명,수레 ~,C
4795.0,바퀴01,의,네 ~,C
1005.0,바탕01,명,,C
5349.0,박10,의,泊,C
2830.0,박다01,동,,C
1517.0,박물관,명,博物館,A
